Date received,Product,Sub-product,Issue,Sub-issue,Consumer complaint narrative,Company public response,Company,State,ZIP code,Tags,Consumer consent provided?,Submitted via,Date sent to company,Company response to consumer,Timely response?,Consumer disputed?,Complaint ID
08/05/2015,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,Ocwen,TX,78228,,N/A,Postal mail,08/05/2015,Closed with explanation,Yes,Yes,1504216
07/28/2015,Debt collection,Medical,Cont'd attempts collect debt not owed,Debt was paid,"XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX, Oregon XXXX sent {$150.00} to Professional Credit Services, "" collections ''. {$100.00} of it was paid to Professional Credit Services, "" collections '' in XXXX XXXX. {$60.00} was paid to XXXX XXXX XXXX XXXX XXXX. XXXX did not recognize this payment until XXXX of XXXX. They sent the payment of {$60.00} to the collection agency in XXXX of XXXX. The collection agency and XXXX are requiring me to pay interest on the balance previously paid. XXXX had the funds for almost 4 years. They reported the full amount on my credit report for 4 years. I made XXXX aware of the issue, they paid the collection agency XXXX XXXX, and the interest is now on my credit report. I asked XXXX to pay me the interest or write off the interest and they wo n't. The interest is {$17.00}, it is not the amount but the lack of reconciling my account for 4 years and than demanding interest on money they had all along. XXXX owns the debit, the collection agency did not purchase the debit. From my point, this needs to be removed and back dated off my credit report. I have contacted both XXXX and Professional Credit Services and both will not release the interest on money they had for 4 years. I would like to see both these companies fined for abuse of my credit report. They both are aware the money was paid 4 years ago and are still demanding interest not earned due to the lack of reconciling my account. 
",Company believes complaint represents an opportunity for improvement to better serve consumers,"Ray Klein, Inc.",WA,986XX,,Consent provided,Web,08/04/2015,Closed with non-monetary relief,Yes,No,1489995
08/10/2015,Money transfers,Domestic (US) money transfer,Fraud or scam,,,,MoneyGram,NC,29138,Servicemember,N/A,Phone,08/12/2015,Closed with explanation,Yes,No,1511720
08/10/2015,Mortgage,Conventional adjustable mortgage (ARM),Settlement process and costs,,,Company chooses not to provide a public response,Wells Fargo & Company,AZ,85248,,Consent not provided,Web,08/10/2015,Closed with non-monetary relief,Yes,Yes,1511723
08/10/2015,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,,,JPMorgan Chase & Co.,IL,60438,,Consent not provided,Web,08/10/2015,Closed with explanation,Yes,No,1511774
07/31/2015,Credit card,,Billing disputes,,"On XX/XX/XXXX, and as a last resort and after numerous attempts to resolve the dispute directly with the merchant, I called Home Depot Credit Card Customer Service to dispute an amount of {$3600.00} from my bill of XX/XX/XXXX. The agent never asked me for the reason for the dispute but, never the less, took all my information. Sometime in XX/XX/XXXX, I received the very correspondence from Home Depot Credit Services in a form of a letter dated XX/XX/XXXX. The very second sentence in their letter read the following : "" We 've previously confirmed receipt of your inquiry regarding the dispute charges of {$3600.00}. '' Ironically, and in spit of my numerous attempts, I am yet to receive neither the original not a copy of the method through which they "" confirmed ... ... '' The case once again went dormant. Then sometime in XX/XX/XXXX, I received from Home Depot Credit Services a letter dated XX/XX/XXXX. The very XXXX sentence in this letter was the following : "" This is to advise you that the disputed amount of {$3600.00} will be provisionally credited to The Home Depot Credit Card account referenced above. '' However, few months later, I noticed that my balance increased significantly. When I did my calculations, I discovered that the difference was {$3600.00}. However, I never received an explanation. After my numerous inquiries, I finally received a letter from Home Depot Credit Services dated XX/XX/XXXX. The XXXX sentence in this letter was an acknowledgment to my inquiry. The second sentence in this letter read the following : "" This inquiry needs to be handled directly by the Home Depot Customer Care. '' the letter only included a telephone number to H.D. Customer Care. I am literally still reeling from this experience. Please help me with this situation. Thank you very much for your attention to this matter. 
Sincerely, XXXX XXXX XXXX XXXX XXXX 
XXXX, VA XXXX 
",Company chooses not to provide a public response,Citibank,VA,240XX,,Consent provided,Web,07/31/2015,Closed with explanation,Yes,Yes,1497065
07/28/2015,Mortgage,Other mortgage,"Loan servicing, payments, escrow account",,,Company chooses not to provide a public response,Wells Fargo & Company,MI,48912,,N/A,Referral,08/03/2015,Closed with explanation,Yes,No,1491575
07/28/2015,Bank account or service,Other bank product/service,"Account opening, closing, or management",,"I was in search of information about BOA 's Privacy Assist ( I have been a customer of this service for quite a few years ) when I saw that in XXXX, there had been a judgment against them by CFPB and that they had n't been providing the monitoring that they were promoting. I never received any notification of this, nor did I receive any settlement. I continue to be billed $ XXXX for "" XXXX XXXX XXXX '' thinking this is protecting my credit. My online statements reveal that this dates back to at least XX/XX/XXXX, and probably further, if I can get paper statements. Can you advise if I should have discontinued this service, or should have received some sort of notification/settlement from BOA? I am disturbed to have never been apprised of this, despite keeping up to date on the news, including financial news! 
",Company chooses not to provide a public response,Bank of America,MA,018XX,Older American,Consent provided,Web,07/29/2015,Closed with explanation,Yes,No,1489988
08/10/2015,Bank account or service,Checking account,"Account opening, closing, or management",,,Company chooses not to provide a public response,U.S. Bancorp,WI,53129,,Consent not provided,Web,08/10/2015,Closed with monetary relief,Yes,No,1511744
08/05/2015,Debt collection,I do not know,Taking/threatening an illegal action,Threatened arrest/jail if do not pay,"XXXX ( name of company ) called with a partial robo, partial human call. Name and case number were robo. "" Serious matter with you personal information ''. Need statement from me or my attorney. Number to call is XXXX. Or hit XXXX for a rep. I have had numerous similar calls. All the same type of XXXX. They go for a couple of weeks, then stop for months at a time. I know this is a scam. Alleged company is based out of California. Call at all hours. Getting really old. Thought this was done. First call in almost XXXX months. 
",,Premier Recovery Group,MI,490XX,,Consent provided,Web,08/12/2015,Closed,No,No,1504233
07/31/2015,Credit reporting,,Incorrect information on credit report,Information is not mine,,Company chooses not to provide a public response,"TransUnion Intermediate Holdings, Inc.",CA,93420,,N/A,Postal mail,08/07/2015,Closed with explanation,Yes,No,1497078
08/05/2015,Consumer Loan,Vehicle lease,Managing the loan or lease,,,Company believes the complaint is the result of a misunderstanding,"Total Finance AC, LLC",IL,60563,,N/A,Phone,08/12/2015,Closed with explanation,Yes,No,1504234
08/10/2015,Credit reporting,,Incorrect information on credit report,Account terms,"The XXXX credit bureaus are not reporting XXXX account from XXXX XXXX that was already paid in XXXX of 2015 that is affecting very badly my credit. In my latest credit report of XXXX/XXXX/15 they still reporting incorrectly the account as bad debt and charge off as bad debt. Attached is the following : 1-the proof of payment settlement. 2- is the information that is being reported by the XXXX credit bureaus. 
",Company chooses not to provide a public response,Experian,VA,201XX,,Consent provided,Web,08/18/2015,Closed with explanation,Yes,No,1510290
08/10/2015,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt was paid,"XX/XX/XXXX I see Alliance One reporting on my credit report so I call to see what this is for. At that time I explained that I had filed this undee my chapter XXXX Bank Ruptcy due to a XXXX party making arrangements for payment. I gave my current address and phone # and ezplained that I needed to talk with my Bank Ruptcy attorney before doing anything. Instead of contacting me for payment or to make payment arrangements they proceeded to garmish me with out notification or being served even though they had MY CORRECT ADDRESS OF XXXX XXXX XXXX XXXX & phone # of XXXX XXXX XXXX for the past 8 years but swnt to an old address in XXXX instead. Then again in XXXX XXXXsame issue they requeated a garnishment without notification in which adding more fees & interest. Made pymt arrangements of XXXX to be paid if I could every week feom spouse pay check but forsure mine every 2 weeks. I made XXXX pymt XXXX and XXXX. I had called swveral time to make a pymt but they required the address of my bank whixh I did n't have so was told to call back had offered to do a debit payment for a lesser amount till i could get funds deposited and again they told me to call back when I had the full amount but instead they submit anothwr garnishment without notification no call no letter by mail requestong a payment EVER. So now more fees etc to pay. I let it go till I see that my payroll dept would continue ti pay the wrg amt subited in XX/XX/XXXX due to payments made not being ctedited to acct before subiting a XXXX garnishment. I fileed a precious complaint in which was able to have the company stopped the garnishment being the balance should have been paid in fulll if the attorney fees etc had not been addes again. If there was a balance oweing they should have contactef me be phone email or mail they had all this information BUT THEY HAVE CHOSEN TO FILE GARNISHMENT AFTER GARNISHMENT in which I FEEL IS A SHADY WAY TO ADD FEES TO PUT MONEY IN THEIR POCET. INSTEAD OF appling pymts made ro the court fine they have taken an applied it to thwir feesnand services as showen in attached info. I have been requesting since the XXXX call I made to this company a beginning balance showing payments made ro tje original creditor which is part of ALLIANCE ONE but to luck I have never received any of this information to this day just the bal they placed ony credit report. This companys collections pratice s hi puld be investigated to how they can just file garnishment after garnishment without notification. This causes the balance to continue going up and nevwr be paid off. So a remaining bal of XXXX is what they show and added MORE INTEREST FEES ATTY FEES AND XOURT COST JUST TO GWT MORE MONEY. Im currently on short term XXXX and they have garnished my check in rhe amount of XXXX. I fewl this ahould be it which is still more rhan what I owe. I KNOW I HAD FINE BUT TRULY THOUGHT WAS INCLUDED WITH MY BANK RUPTCY. IF THEY WOULD HAVE JUST CONTACTED INSTEAD OF GARNISHING ME WITHOUT NOTIFICATION I COULD HAVE TAKEN XXXX OF IT QITH A PYMT PLAN AND IT WOULD HAVE BEEN ALOT LESS THAN IT IS. 
",,AllianceOne Recievables Management,WA,986XX,,Consent provided,Web,08/10/2015,Closed with explanation,Yes,No,1512212
07/28/2015,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,Company chooses not to provide a public response,Citibank,CA,92648,Older American,N/A,Postal mail,07/30/2015,Closed with monetary relief,Yes,No,1491468
07/28/2015,Bank account or service,Checking account,"Account opening, closing, or management",,,Company chooses not to provide a public response,Bank of America,PA,19125,,N/A,Phone,07/28/2015,Closed with non-monetary relief,Yes,No,1490032
08/05/2015,Credit reporting,,Incorrect information on credit report,Account status,,,Equifax,VA,20186,,N/A,Postal mail,08/20/2015,Closed with explanation,Yes,Yes,1504239
08/05/2015,Credit reporting,,Credit reporting company's investigation,No notice of investigation status/result,"I disputed a medical account on my Equifax credit report XXXX/XXXX/2015 and the account came by verified and I sent a letter on XXXX/XXXX/2015 stating that the collection agency did not have collection authority on the account because the balance was paid to the hospital and the account is not in collections. Today I receive an updated credit report stating that the account remains the same with a balance and still on my credit report. They did not verify the information 
",,Equifax,GA,301XX,,Consent provided,Web,08/05/2015,Closed with explanation,Yes,Yes,1502857
08/10/2015,Credit reporting,,Incorrect information on credit report,Public record,"Transunion has sent me a copy of a document dated XX/XX/XXXX which they claim confirms the tax lien which I am disputing is valid and legally allowed to be reported to my name for a dispute in XX/XX/XXXX. I am flabbergasted at this companies actions and terrible investigate work in verifying a dispute dating all the way to XX/XX/XXXX until today with a document dated nearly 5 years old. They have repeatedly threatened me on the phone and by mail that I am NOT allowed to dispute this item any more. I believe that this is another attempt to lie and fool consumers into shutting up and going away. This lien is no longer under my name I demand that Transunion send me the PROPER and CURRENT documentation if they disagree. I want my signature, my tax returns verifying that I owe anything to the STATE as late as XX/XX/XXXX will be acceptable in avoiding litigation. I want the proper and current dated documents mailed to me certifying and verifying this lien as mine. I want to know who they spoke to and if they forwarded the documents I sent the showing the withdrawal of the lien. This lien was negotiated and paid in full through the 'reconveyence program ' though monthly installments. I have spoken to the Franchise Tax Board personally and they have informed me that they have not received any documentation or calls from anyone at Transunion. Please delete this withdrawn, inaccurate and invalid lien from my credit report immediately. 
",Company chooses not to provide a public response,"TransUnion Intermediate Holdings, Inc.",CA,914XX,,Consent provided,Web,08/11/2015,Closed with explanation,Yes,Yes,1510186
07/31/2015,Student loan,Non-federal student loan,Dealing with my lender or servicer,Need information about my balance/terms,,,"Navient Solutions, Inc.",WA,98109,,Consent not provided,Web,07/31/2015,Closed with explanation,Yes,No,1497506
08/10/2015,Debt collection,Medical,Cont'd attempts collect debt not owed,Debt was paid,"On XX/XX/XXXX, I had ( XXXX ) medical accounts in the amount of {$47.00}, {$40.00}, & {$330.00}. I called the collection agency and they agreed to settle for {$330.00} which was successfully debited from my checking account on XX/XX/XXXX. After the verbal agreement, I followed up in writing and requested that the collection agency provide there agreement to delete the accounts from my credit report in writing. I never received the letter, but I spoke with XXXX XXXX from the collection agency and was told they would have the accounts removed from my credit report.I called today ( XX/XX/XXXX ) and spoke with XXXX XXXX. He began to yell & scream at me because I asked how much longer is this suppose to take because I was initially told it takes 5-14 days. To date those accounts are still reflected on my credit report. I 've held my end of the contract but, they are taking their time fulfilling our agreement. I feel like I should n't have to be talked down to because I called to inquire about our agreement. 
",,Suburban Credit Corporation,MD,207XX,,Consent provided,Web,08/10/2015,Closed,Yes,Yes,1511790
07/31/2015,Mortgage,Home equity loan or line of credit,"Loan modification,collection,foreclosure",,,,JPMorgan Chase & Co.,FL,320XX,,Other,Web,07/31/2015,Closed with explanation,Yes,No,1497109
08/10/2015,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,"I have filed at least XXXX HAMP applications and sent them to BB & T and they continue to charge me late fees and leave me hanging so that they can rack up fee after fee and deny me a HAMP loan based on me not resolving my hardship, if I was able to resolve my hardship I would n't need a HAMP loan. This is not a HAMP guideline and I feel they are denying me so they can run up as many fees as they possibly can. I 've been feed to death for at least the last 2 years and it just continues and I just keep getting denied and then they keep sending me letters telling me they value my business, well I would value someones business too if I could fee them to death and leagally make them pay me those fees. 
",Company chooses not to provide a public response,BB&T Financial,OH,437XX,,Consent provided,Web,08/10/2015,Closed with explanation,Yes,No,1510267
07/28/2015,Debt collection,Credit card,Disclosure verification of debt,Not given enough info to verify debt,,,"Cavalry Investments, LLC",CO,80015,,Consent not provided,Web,08/05/2015,Closed with explanation,Yes,No,1490067
07/31/2015,Consumer Loan,Vehicle loan,Problems when you are unable to pay,,"I sign up for this loan XXXX unaware of call loans and terms. This company completely took advantage of me, number the car was voluntarily given up although not noted on my credit report. In conjunction the amount is not correct at all as the car was almost paid off! This company is a complete rip off who takes advantage of customers with less than satisfactory credit! 
",,Santander Consumer USA Holdings Inc,DC,200XX,,Consent provided,Web,07/31/2015,Closed with explanation,Yes,No,1497097
07/28/2015,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt was paid,,,Alorica Inc.,MI,48383,,Consent not provided,Web,07/28/2015,Closed with explanation,Yes,No,1490081
08/11/2015,Bank account or service,Checking account,"Account opening, closing, or management",,,Company chooses not to provide a public response,U.S. Bancorp,,,"Older American, Servicemember",N/A,Phone,08/11/2015,Closed with monetary relief,Yes,No,1512387
07/28/2015,Mortgage,Reverse mortgage,"Loan modification,collection,foreclosure",,,,Nationstar Mortgage,MI,493XX,Older American,N/A,Referral,08/04/2015,Closed with explanation,Yes,No,1490075
08/05/2015,Credit reporting,,Incorrect information on credit report,Information is not mine,,,Equifax,GA,30016,,N/A,Postal mail,08/26/2015,Closed with explanation,Yes,No,1504194
08/11/2015,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,"Received a collection agency notice to collect a toll I do not owe. If I had owed it, I would have receive a notice from the State of Florida. 
",Company believes it acted appropriately as authorized by contract or law,"Linebarger Goggan Blair & Sampson, LLP",AL,352XX,Older American,Consent provided,Web,08/11/2015,Closed with explanation,Yes,No,1512429
